Name,layer,Catchment,COUNTYID,COUNTYCODE,COUNTYNAME,COUNTYENG
轆轆溫泉 Lulu Hot Spring,hot_spring,lulu,V,10014,臺東縣,Taitung County
金崙野溪溫泉 Jinlun Hot Spring,hot_spring,jinlun,V,10014,臺東縣,Taitung County
清水野溪溫泉 Qingshui Hot Spring,hot_spring,qinsghui,G,10002,宜蘭縣,Yilan County
烏來溫泉 Wulai Hot Spring,hot_spring,wulai,F,65000,新北市,New Taipei City
碧山溫泉 Bishan Hot Spring,hot_spring,bishan,V,10014,臺東縣,Taitung County
紅葉紅橋溫泉 Hongye Red Bridge Hot Spring,hot_spring,red_leaf,V,10014,臺東縣,Taitung County
紅葉紅橋溫泉 Hongye Red Bridge Hot Spring,hot_spring,red_leaf,V,10014,臺東縣,Taitung County
Campsite for HaYouXi Hostprings 哈尤溪溫泉,hot_spring,ailiao_north_river,T,10013,屏東縣,Pingtung County
泰安溫泉 Tai'an Hot Spring,hot_spring,shuiyun,K,10005,苗栗縣,Miaoli County
樂樂谷野溪溫泉 Lelegu Hot Spring,hot_spring,lelegu,M,10008,南投縣,Nantou County
栗松溫泉 Lisong Hot Spring ,hot_spring,lisong,V,10014,臺東縣,Taitung County
精英野溪溫泉 Jingying Hot Spring ,hot_spring,jingying,M,10008,南投縣,Nantou County
四陵溫泉 Sileng Hot Spring,hot_spring,sileng,H,68000,桃園市,Taoyuan City
四陵溫泉 Sileng Hot Spring,hot_spring,taman,H,68000,桃園市,Taoyuan City
四陵溫泉 Sileng Hot Spring,hot_spring,tieshan,H,68000,桃園市,Taoyuan City
紅葉溫泉 Hongye Hot Spring,hot_spring,red_leaf,V,10014,臺東縣,Taitung County
哈尤溪溫泉 Hayouxi Hostprings ,hot_spring,ailiao_north_river,T,10013,屏東縣,Pingtung County
秀巒溫泉 Xiuluan Hot spring ,hot_spring,xiuluan,J,10004,新竹縣,Hsinchu County
秀巒溫泉 Xiuluan Hot spring ,hot_spring,youling,J,10004,新竹縣,Hsinchu County
秀巒溫泉 Xiuluan Hot spring ,hot_spring,yufeng_river_spirit_pool,J,10004,新竹縣,Hsinchu County
小錦屏溫泉 Xiao Jinping Hot Spring ,hot_spring,xiaojinping,J,10004,新竹縣,Hsinchu County
